drug,n_targets_in_network,n_hub_targets,sum_centrality,mean_centrality,max_centrality,mean_degree,mean_betweenness,mean_closeness,mean_interaction_score,n_communities_hit,max_module_coverage,mean_module_coverage,n_targets_in_network_norm,n_hub_targets_norm,sum_centrality_norm,mean_centrality_norm,n_communities_hit_norm,max_module_coverage_norm,mean_module_coverage_norm,mean_interaction_score_norm,hub_component,centrality_component,module_component,evidence_component,drug_score
TRANS-CINNAMOYL-LIGRLO [N-[3H]PROPIONYL]-NH2,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
PHYTOSTEROL,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
AC-98170,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
SLIGRL-NH2,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
SLIGKV-NH2,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
LUTEIN,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
AEM-28,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
AC-55541,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.4526523382387456,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.008515659540193204,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.008515659540193204,0.3284671156564575
LECANEMAB,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.4526523382387456,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.008515659540193204,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.008515659540193204,0.3284671156564575
"BENZO(A)PYRENE-7,8-DIOL 9,10-EPOXIDE",1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.4526523382387456,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.008515659540193204,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.008515659540193204,0.3284671156564575
AC264613,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.4526523382387456,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.008515659540193204,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.008515659540193204,0.3284671156564575
ACE INHIBITOR,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.3879877184903534,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.007284001974404624,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.007284001974404624,0.32840553277816803
