drug,community,targets_in_module,module_size,module_coverage
IMMUNOTHERAPEUTIC AGENT,1,1,19,0.05263157894736842
INAVOLISIB,2,1,12,0.08333333333333333
INDECAINIDE,6,1,9,0.1111111111111111
INDECAINIDE HYDROCHLORIDE,6,2,9,0.2222222222222222
INDOMETHACIN,1,1,19,0.05263157894736842
INFLIXIMAB-DYYB,1,1,19,0.05263157894736842
INGENOL MEBUTATE,6,1,9,0.1111111111111111
INOSITOL,2,1,12,0.08333333333333333
"INSULIN, REGULAR, HUMAN",1,1,19,0.05263157894736842
"INSULIN, REGULAR, HUMAN",3,1,9,0.1111111111111111
INTERFERON ALFA,1,1,19,0.05263157894736842
INTERFERON ALFA-2B,1,2,19,0.10526315789473684
INTERFERON ALFA-2B,3,1,9,0.1111111111111111
INTERFERON ALFA-N1,1,1,19,0.05263157894736842
INTERFERON ALFA-N3,1,1,19,0.05263157894736842
INTERFERON ALFACON-1,1,1,19,0.05263157894736842
INTERFERON BETA,1,1,19,0.05263157894736842
INTERFERON BETA-1A,1,1,19,0.05263157894736842
INTERFERON BETA-1B,1,1,19,0.05263157894736842
IPTACOPAN,4,1,6,0.16666666666666666
IRAMPANEL,6,2,9,0.2222222222222222
IRBESARTAN,5,1,8,0.125
IRINOTECAN HYDROCHLORIDE,1,1,19,0.05263157894736842
IRINOTECAN HYDROCHLORIDE,3,1,9,0.1111111111111111
ISOX-CHA-CHG-ALA-ARG-DPR(4FB)-NH2,5,1,8,0.125
ISOX-CHA-CHG-ARK(SULFO-CY5)-NH2,5,1,8,0.125
IXABEPILONE,1,1,19,0.05263157894736842
IZORLISIB,2,1,12,0.08333333333333333
JI-101,1,1,19,0.05263157894736842
KU-0060648,2,1,12,0.08333333333333333
KW-3635,5,1,8,0.125
"L-888,607",5,1,8,0.125
L-NAME,1,1,19,0.05263157894736842
L-NNA,1,1,19,0.05263157894736842
LACOSAMIDE,6,2,9,0.2222222222222222
LACTULOSE,1,1,19,0.05263157894736842
LAMOTRIGINE,6,2,9,0.2222222222222222
LANOTEPLASE,2,1,12,0.08333333333333333
LAPATINIB,1,1,19,0.05263157894736842
LAROPIPRANT,5,1,8,0.125
LASOFOXIFENE,1,1,19,0.05263157894736842
LATANOPROST,5,1,8,0.125
LATANOPROST (FREE ACID FORM),5,1,8,0.125
LATANOPROSTENE BUNOD,5,1,8,0.125
LECANEMAB,5,1,8,0.125
LENIOLISIB,2,1,12,0.08333333333333333
LENOGRASTIM,1,1,19,0.05263157894736842
LENVATINIB,1,1,19,0.05263157894736842
LETROZOLE,3,1,9,0.1111111111111111
LEUCETTINE L41,2,1,12,0.08333333333333333
LEUCOVORIN CALCIUM,1,2,19,0.10526315789473684
LEVILIMAB,1,1,19,0.05263157894736842
LEVOFLOXACIN ANHYDROUS,1,1,19,0.05263157894736842
LEVOTHYROXINE,2,1,12,0.08333333333333333
LEVOTHYROXINE,6,1,9,0.1111111111111111
LGB321,2,2,12,0.16666666666666666
LICARBAZEPINE,6,1,9,0.1111111111111111
LIDOCAINE,6,2,9,0.2222222222222222
LIDOCAINE HYDROCHLORIDE,6,2,9,0.2222222222222222
LIF,1,1,19,0.05263157894736842
LIFITEGRAST,1,1,19,0.05263157894736842
LINEZOLID,1,1,19,0.05263157894736842
LINIFANIB,1,1,19,0.05263157894736842
LITHIUM,6,1,9,0.1111111111111111
LOMERIZINE,6,1,9,0.1111111111111111
LORAZEPAM,5,1,8,0.125
LUSUTROMBOPAG,2,2,12,0.16666666666666666
LUTEIN,5,1,8,0.125
LY-294002,2,1,12,0.08333333333333333
